"Adipose Tissue","Muscle","Blood Vessel","Heart","Uterus","Vagina","Breast","Skin","Salivary Gland","Brain","Adrenal Gland","Thyroid","Lung","Spleen","Pancreas","Esophagus","Stomach","Colon","Small Intestine","Prostate","Testis","Nerve","Blood","Pituitary","Ovary","Liver","Kidney","Bladder"
"Candidatus Kaistella beijingensis","Corynebacterium kroppenstedtii","Burkholderia lata","Comamonas serinivorans","Burkholderia metallica","Burkholderia glumae","Burkholderia metallica","Capillimicrobium parvum","Corynebacterium singulare","Corynebacterium jeikeium","Cellulomonas taurus","Caldimonas thermodepolymerans","Carnobacterium divergens","Burkholderia cenocepacia","Burkholderia orbicola","Caenibius tardaugens","Burkholderia stagnalis","Brochothrix thermosphacta","Caldimonas thermodepolymerans","Brevibacterium oceani","Corynebacterium freneyi","Burkholderia stagnalis","Caldicellulosiruptor hydrothermalis","Cardiobacterium hominis","Caldicellulosiruptor acetigenus","Burkholderia pyrrocinia","Capnocytophaga gingivalis","Blautia hansenii"
"Capillimicrobium parvum","Corynebacterium lujinxingii","Burkholderia metallica","Comamonas thiooxydans","Burkholderia multivorans","Burkholderia humptydooensis","Burkholderia multivorans","Capnocytophaga gingivalis","Corynebacterium striatum","Corynebacterium kefirresidentii","Cellulosimicrobium cellulans","Candidatus Kaistella beijingensis","Castellaniella defragrans","Burkholderia dolosa","Burkholderia plantarii","Caldibacillus thermoamylovorans","Burkholderia territorii","Brucella anthropi","Capillimicrobium parvum","Brevibacterium pigmentatum","Corynebacterium glaucum","Burkholderia territorii","Caldicellulosiruptor kronotskyensis","Carnobacterium divergens","Caldicellulosiruptor hydrothermalis","Burkholderia seminalis","Capnocytophaga sputigena","Blautia wexlerae"
"Capnocytophaga gingivalis","Corynebacterium macginleyi","Burkholderia multivorans","Conexibacter woesei","Burkholderia oklahomensis","Burkholderia lata","Burkholderia orbicola","Capnocytophaga sputigena","Corynebacterium tuberculostearicum","Corynebacterium kroppenstedtii","Changpingibacter yushuensis","Capillimicrobium parvum","Caulobacter flavus","Burkholderia gladioli","Burkholderia pseudomallei","Caldicellulosiruptor acetigenus","Burkholderia thailandensis","Burkholderia ambifaria","Capnocytophaga gingivalis","Brevundimonas albigilva","Corynebacterium glucuronolyticum","Burkholderia ubonensis","Caldimonas brevitalea","Castellaniella defragrans","Caldicellulosiruptor kronotskyensis","Burkholderia stagnalis","Cardiobacterium hominis","Bombilactobacillus bombi"
"Capnocytophaga sputigena","Corynebacterium minutissimum","Burkholderia orbicola","Corynebacterium accolens","Burkholderia orbicola","Burkholderia mallei","Burkholderia pseudomallei","Cardiobacterium hominis","Corynebacterium urealyticum","Corynebacterium lujinxingii","Chroococcidiopsis thermalis","Capnocytophaga endodontalis","Caulobacter mirabilis","Burkholderia glumae","Burkholderia pyrrocinia","Caldimonas brevitalea","Burkholderia ubonensis","Burkholderia cenocepacia","Capnocytophaga sputigena","Brevundimonas goettingensis","Corynebacterium imitans","Caballeronia grimmiae","Caldimonas thermodepolymerans","Caulobacter flavus","Caldimonas brevitalea","Burkholderia territorii","Carnobacterium divergens","Bombilactobacillus thymidiniphilus"
"Cardiobacterium hominis","Corynebacterium propinquum","Burkholderia pseudomallei","Corynebacterium amycolatum","Burkholderia plantarii","Burkholderia metallica","Burkholderia pyrrocinia","Carnobacterium divergens","Corynebacterium ureicelerivorans","Corynebacterium macginleyi","Chryseobacterium balustinum","Capnocytophaga gingivalis","Caulobacter rhizosphaerae","Burkholderia humptydooensis","Burkholderia savannae","Caldimonas thermodepolymerans","Caballeronia grimmiae","Burkholderia dolosa","Cardiobacterium hominis","Brevundimonas nasdae","Corynebacterium jeikeium","Caenibius tardaugens","Candidatus Kaistella beijingensis","Caulobacter mirabilis","Caldimonas thermodepolymerans","Burkholderia thailandensis","Castellaniella defragrans","Bordetella avium"
"Carnobacterium divergens","Corynebacterium sanguinis","Burkholderia pyrrocinia","Corynebacterium aurimucosum","Burkholderia pseudomallei","Burkholderia multivorans","Burkholderia seminalis","Castellaniella defragrans","Corynebacterium vitaeruminis","Corynebacterium minutissimum","Chryseobacterium faecale","Capnocytophaga sputigena","Caulobacter segnis","Burkholderia lata","Burkholderia seminalis","Candidatus Kaistella beijingensis","Caenibius tardaugens","Burkholderia lata","Carnobacterium divergens","Brevundimonas pondensis","Corynebacterium kefirresidentii","Caldibacillus thermoamylovorans","Candidatus Nanopelagicus abundans","Caulobacter rhizosphaerae","Candidatus Kaistella beijingensis","Burkholderia ubonensis","Caulobacter mirabilis","Bordetella petrii"
"Castellaniella defragrans","Corynebacterium simulans","Burkholderia seminalis","Corynebacterium freneyi","Burkholderia pyrrocinia","Burkholderia oklahomensis","Burkholderia stagnalis","Caulobacter flavus","Crinalium epipsammum","Corynebacterium propinquum","Chryseobacterium taklimakanense","Cardiobacterium hominis","Caulobacter vibrioides","Burkholderia mallei","Burkholderia stagnalis","Candidatus Nanopelagicus abundans","Caldibacillus thermoamylovorans","Burkholderia metallica","Castellaniella defragrans","Brevundimonas subvibrioides","Corynebacterium kroppenstedtii","Caldicellulosiruptor acetigenus","Capillimicrobium parvum","Caulobacter segnis","Candidatus Methylopumilus turicensis","Caballeronia grimmiae","Caulobacter rhizosphaerae","Bordetella pseudohinzii"
"Caulobacter flavus","Corynebacterium singulare","Burkholderia stagnalis","Corynebacterium glaucum","Burkholderia savannae","Burkholderia orbicola","Burkholderia territorii","Caulobacter henricii","Croceibacterium atlanticum","Corynebacterium rouxii","Chryseoglobus indicus","Carnobacterium divergens","Cellulomonas iranensis","Burkholderia metallica","Burkholderia territorii","Capillimicrobium parvum","Caldicellulosiruptor acetigenus","Burkholderia multivorans","Caulobacter flavus","Brevundimonas vesicularis","Corynebacterium lujinxingii","Caldicellulosiruptor hydrothermalis","Capnocytophaga endodontalis","Caulobacter vibrioides","Candidatus Nanopelagicus abundans","Caenibius tardaugens","Caulobacter segnis","Bosea vaviloviae"
"Caulobacter mirabilis","Corynebacterium striatum","Burkholderia territorii","Corynebacterium glucuronolyticum","Burkholderia seminalis","Burkholderia plantarii","Burkholderia ubonensis","Caulobacter mirabilis","Croceicoccus marinus","Corynebacterium sanguinis","Clavibacter phaseoli","Castellaniella defragrans","Cellulomonas palmilytica","Burkholderia multivorans","Burkholderia thailandensis","Capnocytophaga endodontalis","Caldicellulosiruptor hydrothermalis","Burkholderia orbicola","Caulobacter mirabilis","Brevundimonas vitisensis","Corynebacterium macginleyi","Caldimonas brevitalea","Capnocytophaga gingivalis","Cellulomonas fimi","Candidatus Sodalis pierantonius","Caldibacillus thermoamylovorans","Caulobacter vibrioides","Brachybacterium avium"
"Caulobacter rhizosphaerae","Corynebacterium tuberculostearicum","Burkholderia ubonensis","Corynebacterium imitans","Burkholderia stagnalis","Burkholderia pseudomallei","Caballeronia grimmiae","Caulobacter rhizosphaerae","Cryobacterium soli","Corynebacterium simulans","Cloacibacterium caeni","Caulobacter flavus","Cellulomonas taurus","Burkholderia oklahomensis","Burkholderia ubonensis","Capnocytophaga gingivalis","Caldimonas brevitalea","Burkholderia pseudomallei","Caulobacter rhizosphaerae","Brochothrix thermosphacta","Corynebacterium minutissimum","Caldimonas thermodepolymerans","Capnocytophaga sputigena","Cellulomonas iranensis","Capillimicrobium parvum","Caldicellulosiruptor acetigenus","Cedecea lapagei","Brachybacterium ginsengisoli"
"Caulobacter segnis","Corynebacterium urealyticum","Caballeronia grimmiae","Corynebacterium jeikeium","Burkholderia territorii","Burkholderia pyrrocinia","Caenibius tardaugens","Caulobacter segnis","Cupriavidus basilensis","Corynebacterium singulare","Cloacibacterium normanense","Caulobacter henricii","Cellulosimicrobium cellulans","Burkholderia orbicola","Caballeronia grimmiae","Capnocytophaga sputigena","Caldimonas thermodepolymerans","Burkholderia pyrrocinia","Caulobacter segnis","Brucella anthropi","Corynebacterium propinquum","Candidatus Kaistella beijingensis","Cardiobacterium hominis","Cellulomonas taurus","Capnocytophaga gingivalis","Caldicellulosiruptor hydrothermalis","Cellulomonas iranensis","Brachybacterium sp. NBEC-018"
"Caulobacter vibrioides","Corynebacterium ureicelerivorans","Caenibius tardaugens","Corynebacterium kefirresidentii","Burkholderia thailandensis","Burkholderia savannae","Caldibacillus thermoamylovorans","Caulobacter vibrioides","Cupriavidus gilardii","Corynebacterium stationis","Clostridium perfringens","Caulobacter mirabilis","Cereibacter azotoformans","Burkholderia plantarii","Caenibius tardaugens","Cardiobacterium hominis","Candidatus Kaistella beijingensis","Burkholderia seminalis","Caulobacter vibrioides","Burkholderia ambifaria","Corynebacterium sanguinis","Candidatus Nanopelagicus abundans","Carnobacterium divergens","Cellulosimicrobium cellulans","Capnocytophaga sputigena","Caldimonas brevitalea","Cellulomonas palmilytica","Brachybacterium vulturis"
"Cellulomonas palmilytica","Corynebacterium vitaeruminis","Caldibacillus thermoamylovorans","Corynebacterium kroppenstedtii","Burkholderia ubonensis","Burkholderia seminalis","Caldicellulosiruptor acetigenus","Cellulomonas iranensis","Cupriavidus malaysiensis","Corynebacterium striatum","Comamonas aquatica","Caulobacter rhizosphaerae","Chroococcidiopsis thermalis","Burkholderia pseudomallei","Caldibacillus thermoamylovorans","Carnobacterium divergens","Candidatus Methylopumilus turicensis","Burkholderia stagnalis","Cellulomonas iranensis","Burkholderia cenocepacia","Corynebacterium simulans","Capillimicrobium parvum","Castellaniella defragrans","Chroococcidiopsis thermalis","Cardiobacterium hominis","Caldimonas thermodepolymerans","Cellulomonas taurus","Bradyrhizobium betae"
"Cellulomonas taurus","Corynebacterium xerosis","Caldicellulosiruptor acetigenus","Corynebacterium lujinxingii","Caballeronia grimmiae","Burkholderia stagnalis","Caldicellulosiruptor hydrothermalis","Cellulomonas palmilytica","Cupriavidus necator","Corynebacterium tuberculostearicum","Comamonas fluminis","Caulobacter segnis","Chryseobacterium balustinum","Burkholderia pyrrocinia","Caldicellulosiruptor acetigenus","Castellaniella defragrans","Candidatus Nanopelagicus abundans","Burkholderia territorii","Cellulomonas taurus","Burkholderia dolosa","Corynebacterium singulare","Capnocytophaga endodontalis","Caulobacter flavus","Chryseobacterium balustinum","Carnobacterium divergens","Campylobacter showae","Cellulosimicrobium cellulans","Bradyrhizobium cosmicum"
"Cellulosimicrobium cellulans","Crinalium epipsammum","Caldicellulosiruptor hydrothermalis","Corynebacterium macginleyi","Caenibius tardaugens","Burkholderia territorii","Caldicellulosiruptor kronotskyensis","Cellulomonas taurus","Cupriavidus oxalaticus","Corynebacterium urealyticum","Comamonas kerstersii","Caulobacter vibrioides","Chryseobacterium faecale","Burkholderia savannae","Caldicellulosiruptor kronotskyensis","Caulobacter flavus","Capillimicrobium parvum","Burkholderia ubonensis","Cellulosimicrobium cellulans","Burkholderia glumae","Corynebacterium tuberculostearicum","Capnocytophaga gingivalis","Caulobacter henricii","Chryseobacterium capnotolerans","Castellaniella defragrans","Candidatus Kaistella beijingensis","Cereibacter azotoformans","Bradyrhizobium daqingense"
"Cereibacter azotoformans","Croceicoccus marinus","Caldicellulosiruptor kronotskyensis","Corynebacterium minutissimum","Caldibacillus thermoamylovorans","Burkholderia thailandensis","Caldimonas brevitalea","Cellulosimicrobium cellulans","Cupriavidus pinatubonensis","Corynebacterium ureicelerivorans","Comamonas odontotermitis","Cedecea lapagei","Chryseobacterium indoltheticum","Burkholderia seminalis","Caldimonas brevitalea","Caulobacter henricii","Capnocytophaga endodontalis","Butyricimonas virosa","Cereibacter azotoformans","Burkholderia humptydooensis","Corynebacterium ureicelerivorans","Capnocytophaga sputigena","Caulobacter mirabilis","Chryseobacterium faecale","Caulobacter flavus","Candidatus Mycosynbacter amalyticus","Chania multitudinisentens","Bradyrhizobium diazoefficiens"
"Chroococcidiopsis thermalis","Cupriavidus basilensis","Caldimonas brevitalea","Corynebacterium propinquum","Caldicellulosiruptor acetigenus","Burkholderia ubonensis","Caldimonas thermodepolymerans","Cereibacter azotoformans","Curtobacterium flaccumfaciens","Corynebacterium vitaeruminis","Comamonas serinivorans","Cellulomonas fimi","Chryseobacterium nakagawai","Burkholderia stagnalis","Caldimonas thermodepolymerans","Caulobacter mirabilis","Capnocytophaga gingivalis","Caballeronia grimmiae","Chroococcidiopsis thermalis","Burkholderia lata","Corynebacterium vitaeruminis","Cardiobacterium hominis","Caulobacter rhizosphaerae","Chryseobacterium taklimakanense","Caulobacter mirabilis","Candidatus Nanopelagicus abundans","Chroococcidiopsis thermalis","Bradyrhizobium elkanii"
"Chryseobacterium balustinum","Cupriavidus gilardii","Caldimonas thermodepolymerans","Corynebacterium rouxii","Caldicellulosiruptor hydrothermalis","Caballeronia grimmiae","Candidatus Kaistella beijingensis","Chroococcidiopsis thermalis","Curtobacterium luteum","Corynebacterium xerosis","Comamonas thiooxydans","Cellulomonas iranensis","Chryseobacterium nepalense","Burkholderia territorii","Candidatus Kaistella beijingensis","Caulobacter rhizosphaerae","Capnocytophaga sputigena","Caenibius tardaugens","Chryseobacterium balustinum","Burkholderia mallei","Corynebacterium xerosis","Carnobacterium divergens","Caulobacter segnis","Chryseoglobus indicus","Caulobacter rhizosphaerae","Capillimicrobium parvum","Chryseobacterium arthrosphaerae","Bradyrhizobium guangdongense"
"Chryseobacterium faecale","Cupriavidus malaysiensis","Candidatus Kaistella beijingensis","Corynebacterium sanguinis","Caldicellulosiruptor kronotskyensis","Caenibius tardaugens","Candidatus Mycosynbacter amalyticus","Chryseobacterium balustinum","Cutibacterium acnes","Crinalium epipsammum","Conchiformibius steedae","Cellulomonas palmilytica","Chryseobacterium taihuense","Burkholderia thailandensis","Candidatus Methylopumilus turicensis","Caulobacter segnis","Cardiobacterium hominis","Caldibacillus thermoamylovorans","Chryseobacterium faecale","Burkholderia metallica","Crinalium epipsammum","Castellaniella defragrans","Caulobacter vibrioides","Citrobacter freundii","Caulobacter segnis","Capnocytophaga endodontalis","Chryseobacterium bernardetii","Bradyrhizobium guangxiense"
"Chryseobacterium taklimakanense","Cupriavidus necator","Candidatus Mycosynbacter amalyticus","Corynebacterium simulans","Caldimonas brevitalea","Caldibacillus thermoamylovorans","Capillimicrobium parvum","Chryseobacterium carnipullorum","Cutibacterium avidum","Croceicoccus marinus","Conexibacter woesei","Cellulomonas taurus","Chryseobacterium taklimakanense","Burkholderia ubonensis","Candidatus Nanopelagicus abundans","Caulobacter vibrioides","Carnobacterium divergens","Caldicellulosiruptor acetigenus","Chryseobacterium gallinarum","Burkholderia multivorans","Croceicoccus marinus","Caulobacter flavus","Cellulomonas iranensis","Citrobacter portucalensis","Caulobacter vibrioides","Capnocytophaga gingivalis","Chryseobacterium faecale","Bradyrhizobium guangzhouense"
"Chryseoglobus indicus","Cupriavidus oxalaticus","Candidatus Nanopelagicus abundans","Corynebacterium singulare","Caldimonas thermodepolymerans","Caldicellulosiruptor acetigenus","Capnocytophaga gingivalis","Chryseobacterium faecale","Cutibacterium granulosum","Cryobacterium soli","Coprococcus comes","Cellulosimicrobium cellulans","Chryseoglobus indicus","Caballeronia grimmiae","Capillimicrobium parvum","Cellulomonas palmilytica","Castellaniella defragrans","Caldimonas brevitalea","Chryseobacterium taihuense","Burkholderia orbicola","Cronobacter muytjensii","Caulobacter henricii","Cellulomonas palmilytica","Clavibacter phaseoli","Cellulomonas palmilytica","Capnocytophaga sputigena","Chryseobacterium taklimakanense","Bradyrhizobium icense"
"Citrobacter braakii","Cupriavidus pinatubonensis","Capillimicrobium parvum","Corynebacterium stationis","Candidatus Kaistella beijingensis","Caldicellulosiruptor hydrothermalis","Capnocytophaga sputigena","Chryseobacterium taihuense","Cutibacterium modestum","Cupriavidus basilensis","Corynebacterium accolens","Chroococcidiopsis thermalis","Citrobacter amalonaticus","Caenibius tardaugens","Capnocytophaga endodontalis","Cellulomonas taurus","Caulobacter flavus","Caldimonas thermodepolymerans","Chryseobacterium taklimakanense","Burkholderia plantarii","Cryobacterium soli","Caulobacter mirabilis","Cellulomonas taurus","Cloacibacterium caeni","Cellulomonas taurus","Cardiobacterium hominis","Chryseoglobus indicus","Bradyrhizobium japonicum"
